Time (ms);Marker 1 - 0
0;132,625420948699
8;132,706807166996
17;132,770797631853
25;132,804527734345
33;132,807511786621
42;132,795420601166
50;132,788435791724
58;132,795310330559
67;132,813577699113
75;132,841411384763
83;132,878471146704
92;132,917739477479
100;132,94687066216
108;132,959203728089
117;132,959190425963
125;132,955424180588
133;132,951348109088
142;132,945185110823
150;132,936777998121
158;132,926571195011
167;132,909008580713
175;132,881186006855
184;132,854989214697
192;132,848312532149
200;132,869874210218
209;132,917594672735
217;132,987779923491
225;133,077898498627
234;133,172695761369
242;133,241908949327
250;133,264259041536
259;133,242539454359
267;133,199188805321
275;133,168121160523
284;133,180564218052
292;133,253116265372
300;133,38864771804
309;133,576480413267
317;133,788062410595
325;133,981057017853
334;134,113756425308
342;134,162694315112
350;134,133431865162
359;134,05553429277
367;133,967151439518
375;133,900544335766
384;133,872429054797
392;133,880411017938
400;133,906536594274
409;133,929020189863
417;133,934799126294
425;133,920018739228
434;133,884325971487
442;133,828252166767
450;133,751823652807
459;133,661078466793
467;133,575660920799
475;133,516542435913
484;133,488668180286
492;133,483550334398
500;133,490867424259
509;133,502796317933
517;133,513295052639
526;133,51750071142
534;133,512026965183
542;133,494962377618
551;133,464743711526
559;133,419632636031
567;133,360963813007
576;133,297625494925
584;133,243029349246
592;133,205220549179
601;133,182130287896
609;133,165193705029
617;133,14375773891
626;133,107162398143
634;133,047515945508
642;132,962804862963
651;132,858179944092
659;132,747993935942
667;132,65412207818
676;132,595543013026
684;132,577994310239
692;132,587074210885
701;132,588534171325
709;132,547552566999
717;132,455878805149
726;132,340319346566
734;132,246145420626
742;132,210029162871
751;132,242114957028
759;132,327858879808
767;132,438722632489
776;132,538045703859
784;132,592306786927
792;132,590381458235
801;132,547231555257
809;132,489743775356
817;132,447998757264
826;132,45515540232
834;132,539752682165
843;132,708471623257
851;132,936111020243
859;133,17192177681
868;133,357060972209
876;133,449465680502
884;133,444874084708
893;133,376283084175
901;133,294080621309
909;133,240372465801
918;133,231540766513
926;133,259755684337
934;133,304725484692
943;133,346199122608
951;133,37369291606
959;133,383659602167
968;133,371815472426
976;133,337625879827
984;133,292246181031
993;133,253525821955
1001;133,233010503305
1009;133,229250060985
1018;133,232224945795
1026;133,234869462041
1034;133,239618487924
1043;133,2517368698
1051;133,269549879032
1059;133,283667869562
1068;133,287502460157
1076;133,293442291473
1084;133,339941245807
1093;133,478047816229
1101;133,738374165448
1109;134,082396491217
1118;134,349466180049
1126;134,230906221761
1134;133,294794503482
1143;131,061785262023
1151;127,13343285302
1159;121,354980286285
1168;113,952795027344
1176;105,577338550379
1185;97,1923303052513
1193;89,787138666735
1201;84,0087233547049
1210;79,9451684951869
1218;77,2254527132996
1226;75,3253836954916
1235;73,8320980514802
1243;72,5443411188012
1251;71,4340105666205
1260;70,5499851125095
1268;69,9449755173493
1276;69,6597639171441
1285;69,745968301251
1293;70,2887279568222
1301;71,3986375267218
1310;73,1733597780203
1318;75,6622907906408
1326;78,8509884340177
1335;82,664261692217
1343;87,0093436349676
1351;91,8387575182495
1360;97,1677653298794
1368;103,037659024443
1376;109,450305303532
1385;116,297559720554
1393;123,323055409319
1401;130,160266201107
1410;136,460632569604
1418;142,00671709445
1426;146,702587280367
1435;150,518622226323
1443;153,476269442064
1451;155,639285155539
1460;157,102946279677
1468;157,992836521919
1476;158,452743626639
1485;158,625196997745
1493;158,643010317898
1501;158,620274264342
1510;158,626514525001
1518;158,677661467362
1527;158,770071400968
1535;158,909182189014
1543;159,100596473273
1552;159,331360286118
1560;159,568147729253
1568;159,774871318668
1577;159,932326611447
1585;160,042940790864
1593;160,121429587091
1602;160,181109659175
1610;160,225266108885
1618;160,250629044782
1627;160,259436392405
1635;160,267506572202
1643;160,301856430195
1652;160,385611696464
1660;160,51526622354
1668;160,655530930549
1677;160,767801730285
1685;160,842747010433
1693;160,902787432816
1702;160,984923749348
1710;161,125314565422
1718;161,344227204862
1727;161,62656701725
1735;161,90205386132
1743;162,020072226558
1752;161,705772113829
1760;160,521731156633
1768;157,913730755648
1777;153,410515364223
1785;146,912489039258
1793;138,82346884241
1802;129,852501148394
1810;120,65281533417
1818;111,652255851952
1827;103,109195555684
1835;95,0898619651891
1844;87,5232693584779
1852;80,5387550181185
1860;74,4836232763407
1869;69,5200028268172
1877;65,5565560163642
1885;62,5225405815497
1894;60,4446246320308
1902;59,3212124326361
1910;59,0524543727327
1919;59,5096970103712
1927;60,6713137251769
1935;62,6340523238427
1944;65,4665753948295
1952;69,1093556910494
1960;73,3893085156178
1969;78,0811423471093
1977;82,9930330180403
1985;88,017540018135
1994;93,111435725315
2002;98,2634047268684
2010;103,456668019447
2019;108,619364582993
2027;113,632837303888
2035;118,376615325809
2044;122,736041340994
2052;126,615831210483
2060;129,979825812547
2069;132,859623090997
2077;135,329290966677
2085;137,467291911086
2094;139,316371911961
2102;140,875528777266
2110;142,124128294508
2119;143,044232840872
2127;143,645377804567
2135;143,985365574083
2144;144,141663036826
2152;144,155341242508
2160;144,012902409732
2169;143,66889145522
2177;143,088933925378
2186;142,290850370521
2194;141,353993117726
2202;140,386450706472
2211;139,465212402895
2219;138,611948749098
2227;137,828238102222
2236;137,112587623074
2244;136,434763845198
2252;135,730927505778
2261;134,933594125214
2269;134,002477775927
2277;132,94387184775
2286;131,810738156903
2294;130,67935365182
2302;129,631131769688
2311;128,746122512291
2319;128,072806656049
2327;127,591027405035
2336;127,234873741743
2344;126,954213105323
2352;126,731054435116
2361;126,564606061533
2369;126,465880829459
2377;126,443081789171
2386;126,487123418698
2394;126,575949752797
2402;126,681339763408
2411;126,773008678974
2419;126,827032024828
2427;126,835123286194
2436;126,805969119956
2444;126,757623674264
2452;126,709227057764
2461;126,674826096765
2469;126,662708406095
2477;126,685945131871
2486;126,770288124879
2494;126,939975948311
2503;127,190149462899
2511;127,478357363322
2519;127,74909037299
2528;127,968171296668
2536;128,139389260818
2544;128,293230586584
2553;128,45739308611
2561;128,636266756815
2569;128,814536501992
2578;128,974936838635
2586;129,112923865366
2594;129,234700317445
2603;129,343348874065
2611;129,432183359856
2619;129,491046390343
2628;129,515926266428
2636;129,512929433406
2644;129,496727891409
2653;129,485602391328
2661;129,492165529659
2669;129,518028104781
2678;129,559317354566
2686;129,61162474551
2694;129,668715022742
2703;129,723582489415
2711;129,769599920819
2719;129,798269627505
2728;129,801038284195
2736;129,774365077152
2744;129,722894783384
2753;129,660266846776
2761;129,603840956232
2769;129,565163627808
2778;129,546002804322
2786;129,541419144025
2794;129,543866889475
2803;129,545827660029
2811;129,541166844632
2819;129,525496419771
2828;129,496845836362
2836;129,457842312998
2845;129,416402151045
2853;129,381726060733
2861;129,364089623132
2870;129,379584661984
2878;129,439059922699
2886;129,529036767224
2895;129,618487996222
2903;129,681074491499
2911;129,705912446093
2920;129,699329016646
2928;129,677415908574
2936;129,652883453409
2945;129,634322673303
2953;129,632263488684
2961;129,654762022873
2970;129,697118104485
2978;129,739981756219
2986;129,763563935181
2995;129,765706940669
3003;129,76116775538
3011;129,764866019498
3020;129,782224569155
3028;129,814065584178
3036;129,862121137496
3045;129,925975033654
3053;129,998057573819
3061;130,066352575124
3070;130,124180265806
3078;130,175232325303
3086;130,227901236181
3095;130,285232412235
3103;130,338750393692
3111;130,371855940918
3120;130,370511344638
3128;130,33195147257
3136;130,266258633731
3145;130,190143382969
3153;130,117740555953
3161;130,058322003606
3170;130,019887743031
3178;130,008876258883
3187;130,02657061613
3195;130,066983738052
3203;130,117535941613
3212;130,163394611283
3220;130,192597379009
3228;130,200907215786
3237;130,193717093826
3245;130,180011461024
3253;130,165303999462
3262;130,150959460606
3270;130,136738438484
3278;130,122640015487
